trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id
bus_trip_bus_trip_0004020672023091120240611,3,bus_route_bus_route_610,,1,Lavis Via Nazionale,1111100,bus_stop_3027
bus_trip_bus_trip_0004030042023091820240611,3,bus_route_bus_route_562,D254_R5073_sub1,0,Via 13 Settembre,1111110,bus_stop_1311
bus_trip_bus_trip_0004030072023091820240611,3,bus_route_bus_route_563,D259_R5083c_sub2,0,Ossario Castel Dante,1111110,bus_stop_2706
bus_trip_bus_trip_0004030102023092520240611,3,bus_route_bus_route_541,D634_T0657_Andata_sub2,0,Gabbiolo Capolinea,1111100,bus_stop_3096
bus_trip_bus_trip_0004030122023092520240611,3,bus_route_bus_route_539,D590_T0434_Ritorno_sub2,1,Gardolo P.Le Neufahrn Sud,1111110,bus_stop_92
bus_trip_bus_trip_0004030192023100220240611,3,bus_route_bus_route_411,D713_T1201_Andata_PRINCIPALE_sub2,0,Romagnano Piazza Condini,1111110,bus_stop_247
bus_trip_bus_trip_0004030202023100120240611,3,bus_route_bus_route_411,D714_T1202_Ritorno_PRINCIPALE_sub1,1,"Piazza Dante ""Pal. Regione""",1111110,bus_stop_208
bus_trip_bus_trip_0004030262023100220240611,3,bus_route_bus_route_415,D729_T1401_Andata_PRINCIPALE_sub1,0,Belvedere,1111110,bus_stop_247
bus_trip_bus_trip_0004030272023100220240611,3,bus_route_bus_route_404,D663_T0878a_Ritorno_sub1,1,"Piazza Dante ""Dogana""",1111110,bus_stop_3
bus_trip_bus_trip_0004030292023100420240611,3,bus_route_bus_route_406,D681_T0902b_Ritorno_PRINCIPALE_sub1,1,"Piazza Dante ""Dogana""",1111100,bus_stop_477
bus_trip_bus_trip_0004030542023101420240611,3,bus_route_bus_route_602,D27_C5501_Andata_sub1,1,Savignano,1111100,bus_stop_1327
bus_trip_bus_trip_0004030552023101420240611,3,bus_route_bus_route_590,D415_R5333_Andata_sub1,0,Lenzima,1111100,bus_stop_2268
bus_trip_bus_trip_0004030562023101420240611,3,bus_route_bus_route_590,D435_R5344a_Ritorno_sub2,1,Pedersano Capolinea,1111100,bus_stop_2237
bus_trip_bus_trip_0004030572023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111100,bus_stop_2408
bus_trip_bus_trip_0004030582023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030592023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030602023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030612023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030622023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030632023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030642023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030652023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030662023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030672023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030682023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030692023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030702023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030712023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030722023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030732023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030742023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030752023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030762023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030772023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030782023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030792023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030802023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030812023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030822023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030832023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030842023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030852023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub1,0,"Papiria ""Italcementi""",1111110,bus_stop_2408
bus_trip_bus_trip_0004030862023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111100,bus_stop_3106
bus_trip_bus_trip_0004030872023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030882023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030892023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030902023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030912023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030922023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030932023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030942023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030952023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030962023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030972023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030982023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004030992023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
bus_trip_bus_trip_0004031002023110620240611,3,bus_route_bus_route_621,D777_T3213b_Circolare_sub2,0,Parcheggio Zuffo,1111110,bus_stop_3106
