trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id,delay_id
bus_trip_0004000932023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1625
bus_trip_0004000942023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1626
bus_trip_0004000952023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1627
bus_trip_0004000962023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1628
bus_trip_0004000972023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1629
bus_trip_0004000982023091120240611,3,bus_route_396,D552_T0337_Andata_sub1,0,San Rocco Piazza,1111100,bus_stop_38,delay_1630
bus_trip_0004000992023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1631
bus_trip_0004001002023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1632
bus_trip_0004001012023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1633
bus_trip_0004001022023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1634
bus_trip_0004001032023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1635
bus_trip_0004001042023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1636
bus_trip_0004001052023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1637
