id,longitude,latitude
365,11.18477,46.067728
366,11.17864,46.068285
367,11.175508,46.06784
368,11.172325,46.065735
369,11.168748,46.066021
370,11.108166,46.103917
371,11.114353,46.10671
372,11.117338,46.104154
373,11.118127,46.102356
374,11.118761,46.100097
375,11.119758,46.097301
376,11.120723,46.093919
377,11.120604,46.092571
378,11.12082,46.090042
379,11.121396,46.087572
380,11.122474,46.085496
381,11.121727,46.084529
382,11.12761,46.064131
383,11.127822,46.062502
384,11.131346,46.059878
385,11.1312,46.058168
386,11.132219,46.055632
387,11.133747,46.054869
388,11.122776,46.070654
389,11.130446,46.056256
390,11.129102,46.048694
391,11.124369,46.051768
392,11.125535,46.053331
393,11.128171,46.052639
394,11.129676,46.055999
395,11.133082,46.058333
396,11.132267,46.059886
397,11.127957,46.062524
398,11.126402,46.13011
399,11.128728,46.128896
400,11.130774,46.130653
401,11.132546,46.133407
402,11.133928,46.132978
403,11.134609,46.131433
404,11.134602,46.129695
405,11.134672,46.128254
406,11.133726,46.124661
407,11.11676,46.126579
408,11.109709,46.074958
409,11.114545,46.073642
410,11.115831,46.059508
411,11.113649,46.057099
412,11.115167,46.057187
413,11.117642,46.057502
414,11.112549,46.057726
415,11.113183,46.063425
416,11.1142,46.065822
417,11.117868,46.066534
418,11.114821,46.073035
419,11.11342,46.074583
420,11.145576,46.038494
421,11.142601,46.041497
422,11.146588,46.052083
423,11.149154,46.055543
424,11.13044,46.040233
425,11.13043,46.036419
426,11.125927,46.033521
427,11.127221,46.03426
428,11.124537,46.038346
429,11.123737,46.041621
430,11.12169,46.044632
431,11.124383,46.038643
432,11.114779,46.051205
433,11.133347,46.060039
434,11.118549,46.092602
435,11.119265,46.091364
436,11.117999,46.091021
437,11.116229,46.09251
438,11.150894,46.063986
439,11.150401,46.065493
440,11.15051,46.067131
441,11.148843,46.055279
442,11.146369,46.052091
443,11.115698,46.069594
444,11.102699,46.065986
445,11.100099,46.10353
446,11.101583,46.101226
447,11.099813,46.100072
448,11.102184,46.097604
449,11.10508,46.094446
450,11.107424,46.091669
451,11.10823,46.090707
452,11.110606,46.087889
453,11.112658,46.085455
454,11.114889,46.082769
455,11.116496,46.080857
456,11.11762,46.078725
457,11.118989,46.076884
458,11.058186,46.078747
459,11.064109,46.083174
460,11.132709,46.031037
461,11.132726,46.025382
462,11.132453,46.017229
463,11.1306,46.012398
464,11.128593,46.009948
465,11.126954,46.007801
466,11.126518,46.005384
467,11.12631,46.002725
468,11.126782,46.002959
469,11.127593,46.006539
470,11.128968,46.009422
471,11.130383,46.011656
472,11.131547,46.013587
473,11.132591,46.017316
474,11.132788,46.025655
475,11.132908,46.030059
476,11.131449,46.03424
477,11.13066,46.037978
478,11.123674,46.076198
479,11.118701,46.077014
480,11.118075,46.079109
481,11.116571,46.080884
482,11.114802,46.082986
483,11.116914,46.095078
484,11.132017,46.01274
485,11.131717,46.011238
486,11.131472,46.007896
487,11.129908,46.005877
488,11.128386,46.00691
489,11.131035,46.006528
490,11.131522,46.008686
491,11.13167,46.010984
492,11.13216,46.012721
493,11.134665,46.129572
494,11.134013,46.131968
495,11.133777,46.133146
496,11.13241,46.133614
497,11.130637,46.130483
498,11.129085,46.128751
499,11.126098,46.130171
500,11.118357,46.125503
501,11.116937,46.123508
502,11.115305,46.127618
503,11.121228,46.084415
