id,name,product_category,store_name,points
654,CENTRO STORICO PIEDICASTELLO,ARTICOLI MEDICALI E ORTOPEDICI,CANCIAN PATRICIA,POINT (11.12059 46.090206)
655,CENTRO STORICO PIEDICASTELLO,MERCERIE-CUCIRINI-FILATI-RICAMI,NARDON FRANCESCA,POINT (11.121201 46.08855)
656,CENTRO STORICO PIEDICASTELLO,MATERIALE DA COSTRUZIONE,BAYKER ITALIA SPA,POINT (11.118252 46.086219)
657,CENTRO STORICO PIEDICASTELLO,,FP CLEANING SOCIETA'A RESPONSABILITA' LIMITATA SEMPLIFICATA,POINT (11.121021 46.082021)
658,CENTRO STORICO PIEDICASTELLO,,ENNETRE FENSTER S.R.L.,POINT (11.124771 46.075003)
659,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,CASA DEL FRENO SRL,POINT (11.107595 46.086802)
660,CENTRO STORICO PIEDICASTELLO,,FOURWHEELS RENTING S.R.L.,POINT (11.119864 46.08607)
661,CENTRO STORICO PIEDICASTELLO,,ELETTROCALOR S.N.C. DI CLAUDIO TURRI E VIRNA CHIESA,POINT (11.105423 46.093783)
662,CENTRO STORICO PIEDICASTELLO,,INIZIATIVE CONFESERCENTI SRL,POINT (11.105423 46.093783)
663,CENTRO STORICO PIEDICASTELLO,ARTICOLI IGIENICO SANITARI,E. INNERHOFER S.P.A.,POINT (11.108087 46.090842)
664,CENTRO STORICO PIEDICASTELLO,ARTICOLI IGIENICO SANITARI,E. INNERHOFER S.P.A.,POINT (11.108087 46.090842)
665,CENTRO STORICO PIEDICASTELLO,,UNISOLAR GROUP S.R.L.,POINT (11.118674 46.093806)
666,CENTRO STORICO PIEDICASTELLO,MATERIALE DA COSTRUZIONE,BAUWERT ITALIA SRL,POINT (11.120304 46.091988)
667,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MAGNITUDO S.A.S. DI TASIN MARTINA & C.,POINT (11.106298 46.09278)
668,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",BEER ROAD S.R.L.,POINT (11.113042 46.090465)
669,CENTRO STORICO PIEDICASTELLO,MOBILI,BETTOTTI SAS DI BETTOTTI PAOLO & C.,POINT (11.122795 46.079259)
670,CENTRO STORICO PIEDICASTELLO,SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE),L'ORIGINE S.R.L.,POINT (11.122795 46.079259)
671,CENTRO STORICO PIEDICASTELLO,FRUTTA E VERDURA,AL.MA FRUTTA S.N.C. DI CARBONE ALESSANDRA E VIOLA MAURIZIO,POINT (11.107012 46.091131)
672,CENTRO STORICO PIEDICASTELLO,VARIE,AUTOFFICINA DAL JHONNY SRLS,POINT (11.10488 46.092195)
673,CENTRO STORICO PIEDICASTELLO,SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE),SEVEN S.P.A.,POINT (11.117786 46.088881)
674,CENTRO STORICO PIEDICASTELLO,VARIE,FIT SOCIETA' A RESPONSABILITA' LIMITATA,POINT (11.108502 46.088366)
