WKT;tipo;settore;descr;strada;desvia;civico_alf;merceologia;sup_vend;nome;codice;fumetto
"POINT (664893.923313989 5103546.44643304)";FIORI E PIANTE;NON ALIMENTARE;;"1340";VIA B. GIOVANELLI;"1";FIORI E PIANTE;42;MAHMOOD AQEEL;"43740";"FIORI E PIANTE - VIA B. GIOVANELLI, 1"
"POINT (664084.904940246 5103770.45647142)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"1040";PIAZZA DUOMO;"3";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;31;YVES ROCHER ITALIA SRL SOCIETA' BENEFIT A SOCIO UNICO;"25163";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - PIAZZA DUOMO, 3"
"POINT (664282.753308086 5103938.692585)";CALZATURE E ARTICOLI IN CUOIO;NON ALIMENTARE;;"2860";VIA SAN PIETRO;"34";CALZATURE E ARTICOLI IN CUOIO;29;CALZATURE POVOLO S.N.C. DI BONADIMAN ANNALISA E MARIAGRAZIA;"13145";"CALZATURE E ARTICOLI IN CUOIO - VIA SAN PIETRO, 34"
"POINT (663897.071972912 5104095.60992583)";CARTOLERIA-CANCELLERIA E FORN. PER UFF.;ALIMENTARE E NON ALIMENTARE;;"880";PIAZZA DANTE;"3";CARTOLERIA-CANCELLERIA E FORN. PER UFF.;32;EDITAB99 SAS DI ROSSI LORENZO & C.;"13030";"CARTOLERIA-CANCELLERIA E FORN. PER UFF. - PIAZZA DANTE, 3"
"POINT (663897.071972912 5104095.60992583)";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;ALIMENTARE E NON ALIMENTARE;;"880";PIAZZA DANTE;"3";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;32;EDITAB99 SAS DI ROSSI LORENZO & C.;"13030";"ART.PER RIVENDITE DI GENERI DI MONOPOLIO - PIAZZA DANTE, 3"
"POINT (663897.071972912 5104095.60992583)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";ALIMENTARE E NON ALIMENTARE;;"880";PIAZZA DANTE;"3";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";32;EDITAB99 SAS DI ROSSI LORENZO & C.;"13030";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - PIAZZA DANTE, 3"
"POINT (663897.071972912 5104095.60992583)";GIORNALI-RIVISTE E PERIODICI;;;"880";PIAZZA DANTE;"3";GIORNALI-RIVISTE E PERIODICI;32;EDITAB99 SAS DI ROSSI LORENZO & C.;"9008";"GIORNALI-RIVISTE E PERIODICI - PIAZZA DANTE, 3"
"POINT (664032.300945429 5102466.00726513)";CARNE E PRODOTTI A BASE DI CARNE;ALIMENTARE E NON ALIMENTARE;;"3901";VIA G. MATTEOTTI;"44";CARNE E PRODOTTI A BASE DI CARNE;67;ERRACHIDI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;"44562";"CARNE E PRODOTTI A BASE DI CARNE - VIA G. MATTEOTTI, 44"
"POINT (664032.300945429 5102466.00726513)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"3901";VIA G. MATTEOTTI;"44";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;67;ERRACHIDI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;"44562";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA G. MATTEOTTI, 44"
"POINT (664174.425614655 5103823.12407133)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"2120";VIA ORIOLA;"7";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;67;P. &  G. S.A.S. DI PAOLO FALCIERI E C.;"23342";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA ORIOLA, 7"
